Marca de Tiempo, Uso de Memoria (%)
00:07:03, 40.5
00:07:04, 40.7
00:07:05, 40.7
00:07:06, 40.7
00:07:07, 40.7
00:07:08, 40.8
00:07:09, 40.7
00:07:10, 40.6
00:07:11, 40.7
00:07:12, 40.8
00:07:13, 40.3
00:07:14, 40.5
00:07:15, 40.5
00:07:16, 40.7
00:07:17, 40.8
00:07:18, 40.8
00:07:19, 40.8
00:07:20, 40.7
00:07:21, 40.7
00:07:22, 40.9
00:07:23, 41.2
00:07:24, 41.5
00:07:25, 41.5
00:07:26, 41.5
00:07:27, 41.5
00:07:28, 41.6
00:07:29, 41.7
00:07:30, 41.7
00:07:31, 41.6
00:07:32, 41.9
00:07:33, 42.0
00:07:34, 42.0
00:07:35, 42.1
00:07:36, 42.0
00:07:37, 42.0
00:07:38, 42.0
00:07:39, 42.1
00:07:40, 42.7
00:07:41, 43.2
00:07:42, 44.6
00:07:43, 44.7
00:07:44, 44.7
00:07:45, 43.3
00:07:46, 42.6
00:07:47, 41.8
00:07:48, 41.9
00:07:49, 42.0
00:07:50, 42.1
00:07:51, 42.1
00:07:52, 42.1
00:07:53, 42.1
00:07:54, 42.1
00:07:55, 42.0
00:07:56, 42.1
00:07:57, 42.6
00:07:58, 43.0
00:07:59, 43.4
00:08:00, 43.7
00:08:01, 43.7
00:08:02, 43.9
00:08:03, 43.9
00:08:04, 43.9
00:08:05, 43.9
00:08:06, 43.9
00:08:07, 43.9
00:08:08, 43.5
00:08:09, 43.6
00:08:10, 43.6
00:08:11, 43.6
00:08:12, 43.6
00:08:13, 43.6
00:08:14, 43.7
00:08:15, 43.6
00:08:16, 43.6
00:08:17, 43.7
00:08:18, 43.8
00:08:19, 43.8
00:08:20, 43.8
00:08:21, 43.8
00:08:22, 43.7
00:08:23, 43.7
00:08:24, 43.7
00:08:25, 43.6
00:08:26, 43.6
00:08:27, 43.6
00:08:28, 43.6
00:08:29, 43.3
00:08:30, 43.3
00:08:31, 43.3
00:08:32, 43.3
00:08:33, 43.4
00:08:34, 43.4
00:08:35, 43.5
00:08:36, 43.5
00:08:37, 43.5
00:08:38, 43.5
00:08:39, 43.5
00:08:40, 43.6
00:08:41, 43.6
00:08:42, 43.5
00:08:43, 43.5
00:08:44, 43.5
00:08:45, 43.6
00:08:46, 43.6
00:08:47, 43.6
00:08:48, 43.6
00:08:49, 43.5
00:08:50, 43.6
00:08:51, 43.7
00:08:52, 43.7
00:08:53, 43.6
00:08:54, 43.7
00:08:55, 43.7
00:08:56, 43.7
00:08:57, 43.7
00:08:58, 43.7
00:08:59, 43.5
00:09:00, 43.6
00:09:01, 43.7
00:09:02, 43.7
00:09:03, 43.2
00:09:04, 43.2
00:09:05, 43.2
00:09:06, 43.4
00:09:07, 43.5
00:09:08, 43.5
00:09:09, 43.4
00:09:10, 43.4
00:09:11, 43.4
00:09:12, 43.4
00:09:13, 43.4
00:09:14, 43.4
00:09:15, 43.3
00:09:16, 43.3
00:09:17, 43.4
00:09:18, 43.4
00:09:19, 43.4
00:09:20, 43.4
00:09:21, 43.4
00:09:22, 43.4
00:09:23, 43.4
00:09:24, 43.4
00:09:25, 43.5
00:09:26, 43.5
00:09:27, 43.5
00:09:28, 43.6
00:09:29, 43.6
00:09:30, 43.6
00:09:31, 43.6
00:09:32, 43.6
00:09:34, 43.6
00:09:35, 43.5
00:09:36, 43.5
00:09:37, 43.5
00:09:38, 43.5
00:09:39, 43.6
00:09:40, 43.6
00:09:41, 43.6
00:09:42, 43.6
00:09:43, 43.9
00:09:44, 44.7
00:09:45, 44.6
00:09:46, 44.6
00:09:47, 44.6
00:09:48, 44.6
00:09:49, 44.6
00:09:50, 44.6
00:09:51, 44.5
00:09:52, 44.4
00:09:53, 44.4
00:09:54, 44.3
00:09:55, 44.3
00:09:56, 44.1
00:09:57, 44.1
00:09:58, 44.2
00:09:59, 43.8
00:10:00, 44.1
00:10:01, 43.9
00:10:02, 44.2
00:10:03, 44.3
00:10:04, 44.0
00:10:05, 43.9
00:10:06, 43.8
00:10:07, 43.6
00:10:08, 43.7
00:10:09, 43.7
00:10:10, 43.4
00:10:11, 43.4
00:10:12, 43.4
00:10:13, 43.3
00:10:14, 43.3
00:10:15, 43.3
00:10:16, 43.3
00:10:17, 43.3
00:10:18, 43.3
00:10:19, 43.3
00:10:20, 43.3
00:10:21, 43.5
00:10:22, 43.4
00:10:23, 43.6
00:10:24, 43.6
00:10:25, 43.5
00:10:26, 43.5
00:10:27, 43.5
00:10:28, 43.6
00:10:29, 43.6
00:10:30, 43.6
00:10:31, 43.7
00:10:32, 43.7
00:10:33, 43.6
00:10:34, 43.8
00:10:35, 43.8
00:10:36, 43.8
00:10:37, 43.7
00:10:38, 43.9
00:10:39, 43.9
00:10:40, 43.9
00:10:41, 43.7
00:10:42, 43.7
00:10:43, 43.8
00:10:44, 43.7
00:10:45, 43.7
00:10:46, 43.7
00:10:47, 43.7
00:10:48, 43.7
00:10:49, 43.7
00:10:50, 43.7
00:10:51, 43.7
00:10:52, 43.7
00:10:53, 43.6
